Case, sub_main/7-5_2,,,
,,,,
Drag [N], 37.191,,,
Drag Area [m2], 1.079,,,
,,,,
Centre of Pressure, x, y, z,
Position [m], 0.0, 0.086, 0.0,
,,,,
Part, Drag [N], V/V_flow [-],,
FR motor, 0.289, 1,,
BR motor, 0.289, 1,,
FR rotor, 0.008, 1,,
BR rotor, 0.008, 1,,
FR arm, 0.134, 0.541,,
BR arm, 0.134, 0.541,,
main body, 19.842, 1,,
main body top, 10.419, 1,,
battery, 5.243, 1,,
FL arm, 0.137, 0.879,,
BL arm, 0.137, 0.879,,
FL motor, 0.268, 0.903,,
BL motor, 0.268, 0.903,,
FL rotor, 0.008, 0.903,,
BL rotor, 0.008, 0.903,,
